2025-08-16 13:55:30,350 | 测试 | ℹ️ 信息 | ℹ️  测试信息日志
2025-08-16 13:55:30,352 | 测试 | ⚠️ 警告 | ⚠️  测试警告日志
2025-08-16 14:15:13,130 | HexStrike-AI | ℹ️ 信息 | [38;5;46m✅ 🔧 日志系统初始化完成[0m
2025-08-16 14:15:13,132 | HexStrike-AI | ℹ️ 信息 | ℹ️  📝 日志级别: DEBUG
2025-08-16 14:15:13,132 | HexStrike-AI | ℹ️ 信息 | ℹ️  📁 文件日志: 启用
2025-08-16 14:15:13,132 | HexStrike-AI | ℹ️ 信息 | ℹ️  🎨 彩色输出: 启用
2025-08-16 14:15:13,133 | MCP-Main | ℹ️ 信息 | ℹ️  🔧 日志系统初始化完成，级别: DEBUG
2025-08-16 14:15:13,135 | MCP-Main | 🔍 调试 | 🔍 🐛 调试模式已启用，将显示详细的调试信息
2025-08-16 14:15:34,469 | HexStrike-AI | ℹ️ 信息 | [38;5;46m✅ 🔧 日志系统初始化完成[0m
2025-08-16 14:15:34,469 | HexStrike-AI | ℹ️ 信息 | ℹ️  📝 日志级别: DEBUG
2025-08-16 14:15:34,470 | HexStrike-AI | ℹ️ 信息 | ℹ️  📁 文件日志: 启用
2025-08-16 14:15:34,470 | HexStrike-AI | ℹ️ 信息 | ℹ️  🎨 彩色输出: 启用
2025-08-16 14:15:34,470 | MCP-Main | ℹ️ 信息 | ℹ️  🔧 日志系统初始化完成，级别: DEBUG
2025-08-16 14:15:34,470 | MCP-Main | 🔍 调试 | 🔍 🐛 调试模式已启用，将显示详细的调试信息
2025-08-16 14:15:34,471 | MCP-Application | ℹ️ 信息 | ℹ️  🔍 检查系统依赖...
2025-08-16 14:15:34,471 | MCP-Application | 🔍 调试 | 🔍 ✅ FastMCP库: 已安装
2025-08-16 14:15:34,471 | MCP-Application | 🔍 调试 | 🔍 ✅ Requests库: 已安装
2025-08-16 14:15:34,471 | MCP-Application | ℹ️ 信息 | [38;5;46m✅ ✅ 所有依赖检查通过[0m
2025-08-16 14:15:34,471 | MCP-Application | ℹ️ 信息 | ℹ️  ⚙️  验证配置参数...
2025-08-16 14:15:34,471 | MCP-Application | ℹ️ 信息 | [38;5;46m✅ ✅ 配置参数验证通过[0m
2025-08-16 14:15:34,471 | MCP-Application | ℹ️ 信息 | ℹ️  🚀 创建MCP服务器管理器...
2025-08-16 14:15:34,478 | ConnectionManager | ℹ️ 信息 | ℹ️  🔗 连接管理器初始化完成，目标: http://127.0.0.1:8888
2025-08-16 14:15:34,480 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  🔗 初始化MCP客户端，目标服务器: http://127.0.0.1:8888
2025-08-16 14:15:34,481 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  🔄 正在建立与HexStrike AI服务器的连接...
2025-08-16 14:15:34,482 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  📡 连接尝试 1/3...
2025-08-16 14:15:36,508 | HexStrike-MCP-Client | ⚠️ 警告 | ⚠️  ⚠️  连接检查失败: 无法连接到服务器，请确保HexStrike AI服务器正在运行
2025-08-16 14:15:36,509 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  ⏳ 等待 2 秒后重试...
2025-08-16 14:15:38,510 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  📡 连接尝试 2/3...
2025-08-16 14:15:40,582 | HexStrike-MCP-Client | ⚠️ 警告 | ⚠️  ⚠️  连接检查失败: 无法连接到服务器，请确保HexStrike AI服务器正在运行
2025-08-16 14:15:40,583 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  ⏳ 等待 4 秒后重试...
2025-08-16 14:15:44,584 | HexStrike-MCP-Client | ℹ️ 信息 | ℹ️  📡 连接尝试 3/3...
2025-08-16 14:15:46,613 | HexStrike-MCP-Client | ⚠️ 警告 | ⚠️  ⚠️  连接检查失败: 无法连接到服务器，请确保HexStrike AI服务器正在运行
2025-08-16 14:15:46,615 | HexStrike-MCP-Client | ❌ 错误 | ❌ ❌ 在 3 次尝试后仍无法连接到服务器
2025-08-16 14:15:46,615 | HexStrike-MCP-Client | ⚠️ 警告 | ⚠️  ⚠️  MCP客户端将继续运行，但工具调用可能失败
2025-08-16 14:15:46,617 | MCP-ToolsManager | ℹ️ 信息 | ℹ️  🛠️  MCP工具管理器初始化完成
2025-08-16 14:15:46,617 | MCP-ToolsManager | ℹ️ 信息 | ℹ️  📋 开始注册所有MCP工具函数...
2025-08-16 14:15:46,618 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: nmap_scan (执行Nmap网络扫描)
2025-08-16 14:15:46,619 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: masscan_scan (执行Masscan高速端口扫描)
2025-08-16 14:15:46,619 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: gobuster_scan (执行Gobuster目录/子域名扫描)
2025-08-16 14:15:46,620 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: nuclei_scan (执行Nuclei漏洞扫描)
2025-08-16 14:15:46,621 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: execute_command (执行系统命令)
2025-08-16 14:15:46,622 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: check_health (检查服务器健康状态)
2025-08-16 14:15:46,622 | MCP-ToolsManager | 🔍 调试 | 🔍 🔧 注册工具: analyze_target (AI智能目标分析)
2025-08-16 14:15:46,623 | MCP-ToolsManager | ℹ️ 信息 | [38;5;46m✅ ✅ 工具注册完成: 7 个工具，4 个分类[0m
2025-08-16 14:15:46,624 | MCP-ToolsManager | ℹ️ 信息 | ℹ️    📂 网络侦察: 2 个工具
2025-08-16 14:15:46,624 | MCP-ToolsManager | ℹ️ 信息 | ℹ️    📂 Web应用安全: 2 个工具
2025-08-16 14:15:46,625 | MCP-ToolsManager | ℹ️ 信息 | ℹ️    📂 系统工具: 2 个工具
2025-08-16 14:15:46,625 | MCP-ToolsManager | ℹ️ 信息 | ℹ️    📂 情报收集: 1 个工具
2025-08-16 14:15:46,626 | MCP-ServerManager | ℹ️ 信息 | ℹ️  🚀 MCP服务器管理器初始化完成: hexstrike-ai-mcp
2025-08-16 14:15:46,627 | MCP-ServerManager | ℹ️ 信息 | ℹ️  📋 开始向MCP服务器注册工具函数...
2025-08-16 14:15:46,629 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: nmap_scan - 执行Nmap网络扫描
2025-08-16 14:15:46,630 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: masscan_scan - 执行Masscan高速端口扫描
2025-08-16 14:15:46,632 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: gobuster_scan - 执行Gobuster目录/子域名扫描
2025-08-16 14:15:46,634 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: nuclei_scan - 执行Nuclei漏洞扫描
2025-08-16 14:15:46,635 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: execute_command - 执行系统命令
2025-08-16 14:15:46,636 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: check_health - 检查服务器健康状态
2025-08-16 14:15:46,637 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: analyze_target - AI智能目标分析
